danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,audio_features,4v7SAP4KD96BFLWiCd1vF0,spotify:track:4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/tracks/4v7SAP4KD96BFLWiCd1vF0,https://api.spotify.com/v1/audio-analysis/4v7SAP4KD96BFLWiCd1vF0,177840,4
